v1	V(n001)	V(n002)	Id(M1)
Step Information: V2=-500m  (Run: 1/51)
4.999999999999998e-001	5.000000e-001	-3.400000e-001	1.322501e-009
5.399999999999998e-001	5.400000e-001	-3.400000e-001	1.749607e-009
5.799999999999999e-001	5.800000e-001	-3.400000e-001	2.305213e-009
6.199999999999999e-001	6.200000e-001	-3.400000e-001	3.025928e-009
6.599999999999999e-001	6.600000e-001	-3.400000e-001	3.958367e-009
7.000000000000000e-001	7.000000e-001	-3.400000e-001	5.161795e-009
7.400000000000000e-001	7.400000e-001	-3.400000e-001	6.711452e-009
7.800000000000000e-001	7.800000e-001	-3.400000e-001	8.702744e-009
8.200000000000001e-001	8.200000e-001	-3.400000e-001	1.125649e-008
8.600000000000001e-001	8.600000e-001	-3.400000e-001	1.452552e-008
9.000000000000001e-001	9.000000e-001	-3.400000e-001	1.870291e-008
9.400000000000002e-001	9.400000e-001	-3.400000e-001	2.403244e-008
9.800000000000002e-001	9.800000e-001	-3.400000e-001	3.082171e-008
1.020000000000000e+000	1.020000e+000	-3.400000e-001	3.945999e-008
1.060000000000000e+000	1.060000e+000	-3.400000e-001	5.044516e-008
1.100000000000000e+000	1.100000e+000	-3.400000e-001	6.443211e-008
1.140000000000000e+000	1.140000e+000	-3.400000e-001	8.232865e-008
1.180000000000000e+000	1.180000e+000	-3.400000e-001	1.054874e-007
1.220000000000000e+000	1.220000e+000	-3.400000e-001	1.360688e-007
1.260000000000001e+000	1.260000e+000	-3.400000e-001	1.776785e-007
1.300000000000001e+000	1.300000e+000	-3.400000e-001	2.364017e-007
1.340000000000001e+000	1.340000e+000	-3.400000e-001	3.223645e-007
1.380000000000001e+000	1.380000e+000	-3.400000e-001	4.519411e-007
1.420000000000001e+000	1.420000e+000	-3.400000e-001	6.506981e-007
1.460000000000001e+000	1.460000e+000	-3.400000e-001	9.571279e-007
1.500000000000000e+000	1.500000e+000	-3.400000e-001	1.427172e-006
Step Information: V2=-300m  (Run: 6/51)
-5.000000000000000e-001	-5.000000e-001	-3.000000e-001	-1.251300e-005
-4.600000000000000e-001	-4.600000e-001	-3.000000e-001	-3.914283e-006
-4.200000000000000e-001	-4.200000e-001	-3.000000e-001	-1.180807e-006
-3.800000000000001e-001	-3.800000e-001	-3.000000e-001	-3.380069e-007
-3.400000000000001e-001	-3.400000e-001	-3.000000e-001	-9.141137e-008
-3.000000000000001e-001	-3.000000e-001	-3.000000e-001	-2.356157e-008
-2.600000000000001e-001	-2.600000e-001	-3.000000e-001	-5.859656e-009
-2.200000000000001e-001	-2.200000e-001	-3.000000e-001	-1.420045e-009
-1.800000000000001e-001	-1.800000e-001	-3.000000e-001	-3.369205e-010
-1.400000000000001e-001	-1.400000e-001	-3.000000e-001	-7.714936e-011
-1.000000000000001e-001	-1.000000e-001	-3.000000e-001	-1.447113e-011
-6.000000000000009e-002	-6.000000e-002	-3.000000e-001	2.538068e-012
-2.000000000000009e-002	-2.000000e-002	-3.000000e-001	1.019109e-011
1.999999999999991e-002	2.000000e-002	-3.000000e-001	1.723041e-011
5.999999999999992e-002	6.000000e-002	-3.000000e-001	2.633292e-011
9.999999999999992e-002	1.000000e-001	-3.000000e-001	3.899642e-011
1.399999999999999e-001	1.400000e-001	-3.000000e-001	5.665078e-011
1.799999999999999e-001	1.800000e-001	-3.000000e-001	8.102686e-011
2.200000000000000e-001	2.200000e-001	-3.000000e-001	1.143762e-010
2.600000000000000e-001	2.600000e-001	-3.000000e-001	1.596364e-010
2.999999999999999e-001	3.000000e-001	-3.000000e-001	2.206300e-010
3.399999999999999e-001	3.400000e-001	-3.000000e-001	3.023166e-010
3.799999999999999e-001	3.800000e-001	-3.000000e-001	4.111134e-010
4.199999999999999e-001	4.200000e-001	-3.000000e-001	5.553022e-010
4.599999999999999e-001	4.600000e-001	-3.000000e-001	7.455462e-010
4.999999999999998e-001	5.000000e-001	-3.000000e-001	9.955441e-010
5.399999999999998e-001	5.400000e-001	-3.000000e-001	1.322859e-009
5.799999999999999e-001	5.800000e-001	-3.000000e-001	1.749966e-009
6.199999999999999e-001	6.200000e-001	-3.000000e-001	2.305572e-009
6.599999999999999e-001	6.600000e-001	-3.000000e-001	3.026288e-009
7.000000000000000e-001	7.000000e-001	-3.000000e-001	3.958728e-009
7.400000000000000e-001	7.400000e-001	-3.000000e-001	5.162156e-009
7.800000000000000e-001	7.800000e-001	-3.000000e-001	6.711814e-009
8.200000000000001e-001	8.200000e-001	-3.000000e-001	8.703107e-009
8.600000000000001e-001	8.600000e-001	-3.000000e-001	1.125685e-008
9.000000000000001e-001	9.000000e-001	-3.000000e-001	1.452588e-008
9.400000000000002e-001	9.400000e-001	-3.000000e-001	1.870328e-008
9.800000000000002e-001	9.800000e-001	-3.000000e-001	2.403280e-008
1.020000000000000e+000	1.020000e+000	-3.000000e-001	3.082208e-008
1.060000000000000e+000	1.060000e+000	-3.000000e-001	3.946036e-008
1.100000000000000e+000	1.100000e+000	-3.000000e-001	5.044553e-008
1.140000000000000e+000	1.140000e+000	-3.000000e-001	6.443248e-008
1.180000000000000e+000	1.180000e+000	-3.000000e-001	8.232903e-008
1.220000000000000e+000	1.220000e+000	-3.000000e-001	1.054878e-007
1.260000000000001e+000	1.260000e+000	-3.000000e-001	1.360692e-007
1.300000000000001e+000	1.300000e+000	-3.000000e-001	1.776790e-007
1.340000000000001e+000	1.340000e+000	-3.000000e-001	2.364023e-007
1.380000000000001e+000	1.380000e+000	-3.000000e-001	3.223653e-007
1.420000000000001e+000	1.420000e+000	-3.000000e-001	4.519421e-007
1.460000000000001e+000	1.460000e+000	-3.000000e-001	6.506997e-007
1.500000000000000e+000	1.500000e+000	-3.000000e-001	9.571304e-007
Step Information: V2=-260m  (Run: 7/51)
-5.000000000000000e-001	-5.000000e-001	-2.600000e-001	-2.405998e-005
-4.600000000000000e-001	-4.600000e-001	-2.600000e-001	-8.269712e-006
-4.200000000000000e-001	-4.200000e-001	-2.600000e-001	-2.683663e-006
-3.800000000000001e-001	-3.800000e-001	-2.600000e-001	-8.217903e-007
-3.400000000000001e-001	-3.400000e-001	-2.600000e-001	-2.356121e-007
-3.000000000000001e-001	-3.000000e-001	-2.600000e-001	-6.350774e-008
-2.600000000000001e-001	-2.600000e-001	-2.600000e-001	-1.630939e-008
-2.200000000000001e-001	-2.200000e-001	-2.600000e-001	-4.045090e-009
-1.800000000000001e-001	-1.800000e-001	-2.600000e-001	-9.782808e-010
-1.400000000000001e-001	-1.400000e-001	-2.600000e-001	-2.312993e-010
-1.000000000000001e-001	-1.000000e-001	-2.600000e-001	-5.203217e-011
-6.000000000000009e-002	-6.000000e-002	-2.600000e-001	-8.188512e-012
-2.000000000000009e-002	-2.000000e-002	-2.600000e-001	4.859699e-012
1.999999999999991e-002	2.000000e-002	-2.600000e-001	1.159711e-011
5.999999999999992e-002	6.000000e-002	-2.600000e-001	1.832421e-011
9.999999999999992e-002	1.000000e-001	-2.600000e-001	2.733207e-011
1.399999999999999e-001	1.400000e-001	-2.600000e-001	3.999032e-011
