v1	V(n001)	I(D1)
-7.299999999999923e-002	-7.300000e-002	-2.016825e-009
-7.289999999999923e-002	-7.290000e-002	-2.015713e-009
-7.279999999999923e-002	-7.280000e-002	-2.014599e-009
-7.269999999999922e-002	-7.270000e-002	-2.013482e-009
-7.259999999999922e-002	-7.260000e-002	-2.012363e-009
-7.249999999999922e-002	-7.250000e-002	-2.011241e-009
-7.239999999999922e-002	-7.240000e-002	-2.010117e-009
-7.229999999999921e-002	-7.230000e-002	-2.008990e-009
-7.219999999999921e-002	-7.220000e-002	-2.007861e-009
-7.209999999999921e-002	-7.210000e-002	-2.006729e-009
-7.199999999999920e-002	-7.200000e-002	-2.005595e-009
-7.189999999999920e-002	-7.190000e-002	-2.004459e-009
-7.179999999999920e-002	-7.180000e-002	-2.003320e-009
-7.169999999999920e-002	-7.170000e-002	-2.002178e-009
-7.159999999999919e-002	-7.160000e-002	-2.001034e-009
-7.149999999999919e-002	-7.150000e-002	-1.999887e-009
-7.139999999999919e-002	-7.140000e-002	-1.998737e-009
-7.129999999999918e-002	-7.130000e-002	-1.997586e-009
-7.119999999999918e-002	-7.120000e-002	-1.996431e-009
-7.109999999999918e-002	-7.110000e-002	-1.995274e-009
-7.099999999999918e-002	-7.100000e-002	-1.994115e-009
-7.089999999999917e-002	-7.090000e-002	-1.992953e-009
-7.079999999999917e-002	-7.080000e-002	-1.991788e-009
-7.069999999999917e-002	-7.070000e-002	-1.990621e-009
-7.059999999999916e-002	-7.060000e-002	-1.989451e-009
-7.049999999999916e-002	-7.050000e-002	-1.988279e-009
-7.039999999999916e-002	-7.040000e-002	-1.987104e-009
-7.029999999999916e-002	-7.030000e-002	-1.985927e-009
-7.019999999999915e-002	-7.020000e-002	-1.984746e-009
-7.009999999999915e-002	-7.010000e-002	-1.983564e-009
-6.999999999999915e-002	-7.000000e-002	-1.982378e-009
-6.989999999999914e-002	-6.990000e-002	-1.981190e-009
-6.979999999999914e-002	-6.980000e-002	-1.980000e-009
-6.969999999999914e-002	-6.970000e-002	-1.978806e-009
-6.959999999999914e-002	-6.960000e-002	-1.977611e-009
-6.949999999999913e-002	-6.950000e-002	-1.976412e-009
-6.939999999999913e-002	-6.940000e-002	-1.975211e-009
-6.929999999999913e-002	-6.930000e-002	-1.974007e-009
-6.919999999999912e-002	-6.920000e-002	-1.972801e-009
-6.909999999999912e-002	-6.910000e-002	-1.971592e-009
-6.899999999999912e-002	-6.900000e-002	-1.970380e-009
-6.889999999999912e-002	-6.890000e-002	-1.969165e-009
-6.879999999999911e-002	-6.880000e-002	-1.967948e-009
-6.869999999999911e-002	-6.870000e-002	-1.966728e-009
-6.859999999999911e-002	-6.860000e-002	-1.965506e-009
-6.849999999999910e-002	-6.850000e-002	-1.964281e-009
-6.839999999999910e-002	-6.840000e-002	-1.963053e-009
-6.829999999999910e-002	-6.830000e-002	-1.961822e-009
-6.819999999999910e-002	-6.820000e-002	-1.960589e-009
-6.809999999999909e-002	-6.810000e-002	-1.959352e-009
-6.799999999999909e-002	-6.800000e-002	-1.958114e-009
-6.789999999999909e-002	-6.790000e-002	-1.956872e-009
-6.779999999999908e-002	-6.780000e-002	-1.955628e-009
-6.769999999999908e-002	-6.770000e-002	-1.954381e-009
-6.759999999999908e-002	-6.760000e-002	-1.953131e-009
-6.749999999999908e-002	-6.750000e-002	-1.951878e-009
-6.739999999999907e-002	-6.740000e-002	-1.950623e-009
-6.729999999999907e-002	-6.730000e-002	-1.949365e-009
-6.719999999999907e-002	-6.720000e-002	-1.948104e-009
-6.709999999999906e-002	-6.710000e-002	-1.946840e-009
-6.699999999999906e-002	-6.700000e-002	-1.945574e-009
-6.689999999999906e-002	-6.690000e-002	-1.944305e-009
-6.679999999999906e-002	-6.680000e-002	-1.943033e-009
-6.669999999999905e-002	-6.670000e-002	-1.941758e-009
-6.659999999999905e-002	-6.660000e-002	-1.940480e-009
-6.649999999999905e-002	-6.650000e-002	-1.939199e-009
-6.639999999999904e-002	-6.640000e-002	-1.937916e-009
-6.629999999999904e-002	-6.630000e-002	-1.936630e-009
-6.619999999999904e-002	-6.620000e-002	-1.935341e-009
-6.609999999999904e-002	-6.610000e-002	-1.934049e-009
-6.599999999999903e-002	-6.600000e-002	-1.932754e-009
-6.589999999999903e-002	-6.590000e-002	-1.931457e-009
-6.579999999999903e-002	-6.580000e-002	-1.930156e-009
-6.569999999999902e-002	-6.570000e-002	-1.928853e-009
-6.559999999999902e-002	-6.560000e-002	-1.927547e-009
-6.549999999999902e-002	-6.550000e-002	-1.926238e-009
-6.539999999999901e-002	-6.540000e-002	-1.924926e-009
-6.529999999999901e-002	-6.530000e-002	-1.923611e-009
-6.519999999999901e-002	-6.520000e-002	-1.922293e-009
-6.509999999999901e-002	-6.510000e-002	-1.920972e-009
-6.499999999999900e-002	-6.500000e-002	-1.919649e-009
-6.489999999999900e-002	-6.490000e-002	-1.918322e-009
-6.479999999999900e-002	-6.480000e-002	-1.916993e-009
-6.469999999999899e-002	-6.470000e-002	-1.915660e-009
-6.459999999999899e-002	-6.460000e-002	-1.914325e-009
-6.449999999999899e-002	-6.450000e-002	-1.912987e-009
-6.439999999999899e-002	-6.440000e-002	-1.911646e-009
-6.429999999999898e-002	-6.430000e-002	-1.910301e-009
-6.419999999999898e-002	-6.420000e-002	-1.908954e-009
-6.409999999999898e-002	-6.410000e-002	-1.907604e-009
-6.399999999999897e-002	-6.400000e-002	-1.906251e-009
-6.389999999999897e-002	-6.390000e-002	-1.904895e-009
-6.379999999999897e-002	-6.380000e-002	-1.903536e-009
-6.369999999999897e-002	-6.370000e-002	-1.902173e-009
-6.359999999999896e-002	-6.360000e-002	-1.900808e-009
-6.349999999999896e-002	-6.350000e-002	-1.899440e-009
-6.339999999999896e-002	-6.340000e-002	-1.898069e-009
-6.329999999999895e-002	-6.330000e-002	-1.896695e-009
-6.319999999999895e-002	-6.320000e-002	-1.895317e-009
-6.309999999999895e-002	-6.310000e-002	-1.893937e-009
-6.299999999999895e-002	-6.300000e-002	-1.892554e-009
-6.289999999999894e-002	-6.290000e-002	-1.891167e-009
-6.279999999999894e-002	-6.280000e-002	-1.889778e-009
-6.269999999999894e-002	-6.270000e-002	-1.888385e-009
-6.259999999999893e-002	-6.260000e-002	-1.886990e-009
-6.249999999999893e-002	-6.250000e-002	-1.885591e-009
-6.239999999999893e-002	-6.240000e-002	-1.884189e-009
-6.229999999999893e-002	-6.230000e-002	-1.882785e-009
-6.219999999999892e-002	-6.220000e-002	-1.881377e-009
-6.209999999999892e-002	-6.210000e-002	-1.879966e-009
-6.199999999999892e-002	-6.200000e-002	-1.878551e-009
-6.189999999999891e-002	-6.190000e-002	-1.877134e-009
-6.179999999999891e-002	-6.180000e-002	-1.875714e-009
-6.169999999999891e-002	-6.170000e-002	-1.874290e-009
-6.159999999999891e-002	-6.160000e-002	-1.872863e-009
-6.149999999999890e-002	-6.150000e-002	-1.871433e-009
-6.139999999999890e-002	-6.140000e-002	-1.870000e-009
-6.129999999999890e-002	-6.130000e-002	-1.868564e-009
-6.119999999999889e-002	-6.120000e-002	-1.867125e-009
-6.109999999999889e-002	-6.110000e-002	-1.865682e-009
-6.099999999999889e-002	-6.100000e-002	-1.864236e-009
-6.089999999999889e-002	-6.090000e-002	-1.862787e-009
-6.079999999999888e-002	-6.080000e-002	-1.861335e-009
-6.069999999999888e-002	-6.070000e-002	-1.859880e-009
-6.059999999999888e-002	-6.060000e-002	-1.858421e-009
-6.049999999999887e-002	-6.050000e-002	-1.856960e-009
-6.039999999999887e-002	-6.040000e-002	-1.855495e-009
-6.029999999999887e-002	-6.030000e-002	-1.854026e-009
-6.019999999999887e-002	-6.020000e-002	-1.852555e-009
-6.009999999999886e-002	-6.010000e-002	-1.851080e-009
-5.999999999999886e-002	-6.000000e-002	-1.849602e-009
-5.989999999999886e-002	-5.990000e-002	-1.848121e-009
-5.979999999999885e-002	-5.980000e-002	-1.846636e-009
-5.969999999999885e-002	-5.970000e-002	-1.845148e-009
-5.959999999999885e-002	-5.960000e-002	-1.843657e-009
-5.949999999999885e-002	-5.950000e-002	-1.842163e-009
-5.939999999999884e-002	-5.940000e-002	-1.840665e-009
-5.929999999999884e-002	-5.930000e-002	-1.839164e-009
-5.919999999999884e-002	-5.920000e-002	-1.837660e-009
-5.909999999999883e-002	-5.910000e-002	-1.836152e-009
-5.899999999999883e-002	-5.900000e-002	-1.834641e-009
-5.889999999999883e-002	-5.890000e-002	-1.833127e-009
-5.879999999999883e-002	-5.880000e-002	-1.831609e-009
-5.869999999999882e-002	-5.870000e-002	-1.830088e-009
-5.859999999999882e-002	-5.860000e-002	-1.828564e-009
-5.849999999999882e-002	-5.850000e-002	-1.827036e-009
-5.839999999999881e-002	-5.840000e-002	-1.825505e-009
-5.829999999999881e-002	-5.830000e-002	-1.823971e-009
-5.819999999999881e-002	-5.820000e-002	-1.822433e-009
-5.809999999999881e-002	-5.810000e-002	-1.820891e-009
-5.799999999999880e-002	-5.800000e-002	-1.819347e-009
-5.789999999999880e-002	-5.790000e-002	-1.817799e-009
-5.779999999999880e-002	-5.780000e-002	-1.816247e-009
-5.769999999999879e-002	-5.770000e-002	-1.814692e-009
-5.759999999999879e-002	-5.760000e-002	-1.813134e-009
-5.749999999999879e-002	-5.750000e-002	-1.811572e-009
-5.739999999999879e-002	-5.740000e-002	-1.810007e-009
-5.729999999999878e-002	-5.730000e-002	-1.808438e-009
-5.719999999999878e-002	-5.720000e-002	-1.806866e-009
-5.709999999999878e-002	-5.710000e-002	-1.805290e-009
-5.699999999999877e-002	-5.700000e-002	-1.803711e-009
-5.689999999999877e-002	-5.690000e-002	-1.802128e-009
-5.679999999999877e-002	-5.680000e-002	-1.800542e-009
-5.669999999999877e-002	-5.670000e-002	-1.798952e-009
-5.659999999999876e-002	-5.660000e-002	-1.797359e-009
-5.649999999999876e-002	-5.650000e-002	-1.795763e-009
-5.639999999999876e-002	-5.640000e-002	-1.794162e-009
-5.629999999999875e-002	-5.630000e-002	-1.792559e-009
-5.619999999999875e-002	-5.620000e-002	-1.790951e-009
-5.609999999999875e-002	-5.610000e-002	-1.789340e-009
-5.599999999999875e-002	-5.600000e-002	-1.787726e-009
-5.589999999999874e-002	-5.590000e-002	-1.786108e-009
-5.579999999999874e-002	-5.580000e-002	-1.784487e-009
-5.569999999999874e-002	-5.570000e-002	-1.782861e-009
-5.559999999999873e-002	-5.560000e-002	-1.781233e-009
-5.549999999999873e-002	-5.550000e-002	-1.779600e-009
-5.539999999999873e-002	-5.540000e-002	-1.777965e-009
-5.529999999999873e-002	-5.530000e-002	-1.776325e-009
-5.519999999999872e-002	-5.520000e-002	-1.774682e-009
-5.509999999999872e-002	-5.510000e-002	-1.773035e-009
-5.499999999999872e-002	-5.500000e-002	-1.771385e-009
-5.489999999999871e-002	-5.490000e-002	-1.769731e-009
-5.479999999999871e-002	-5.480000e-002	-1.768073e-009
-5.469999999999871e-002	-5.470000e-002	-1.766412e-009
-5.459999999999871e-002	-5.460000e-002	-1.764746e-009
-5.449999999999870e-002	-5.450000e-002	-1.763078e-009
-5.439999999999870e-002	-5.440000e-002	-1.761405e-009
-5.429999999999870e-002	-5.430000e-002	-1.759729e-009
-5.419999999999869e-002	-5.420000e-002	-1.758049e-009
-5.409999999999869e-002	-5.410000e-002	-1.756366e-009
-5.399999999999869e-002	-5.400000e-002	-1.754679e-009
-5.389999999999869e-002	-5.390000e-002	-1.752988e-009
-5.379999999999868e-002	-5.380000e-002	-1.751293e-009
-5.369999999999868e-002	-5.370000e-002	-1.749595e-009
-5.359999999999868e-002	-5.360000e-002	-1.747892e-009
