v1	I(R1)
-4.699999999999934e-004	4.271070e-005
-4.599999999999934e-004	4.181081e-005
-4.499999999999934e-004	4.091092e-005
-4.399999999999934e-004	4.001103e-005
-4.299999999999933e-004	3.911114e-005
-4.199999999999933e-004	3.821126e-005
-4.099999999999933e-004	3.731137e-005
-3.999999999999932e-004	3.641148e-005
-3.899999999999932e-004	3.551159e-005
-3.799999999999932e-004	3.461170e-005
-3.699999999999932e-004	3.371181e-005
-3.599999999999931e-004	3.281192e-005
-3.499999999999931e-004	3.191204e-005
-3.399999999999931e-004	3.101215e-005
-3.299999999999931e-004	3.011226e-005
-3.199999999999930e-004	2.921237e-005
-3.099999999999930e-004	2.831248e-005
-2.999999999999930e-004	2.741260e-005
-2.899999999999930e-004	2.651271e-005
-2.799999999999929e-004	2.561282e-005
-2.699999999999929e-004	2.471293e-005
-2.599999999999929e-004	2.381304e-005
-2.499999999999929e-004	2.291315e-005
-2.399999999999929e-004	2.201327e-005
-2.299999999999929e-004	2.111338e-005
-2.199999999999929e-004	2.021349e-005
-2.099999999999929e-004	1.931360e-005
-1.999999999999929e-004	1.841371e-005
-1.899999999999929e-004	1.751382e-005
-1.799999999999929e-004	1.661394e-005
-1.699999999999929e-004	1.571405e-005
-1.599999999999929e-004	1.481416e-005
-1.499999999999929e-004	1.391427e-005
-1.399999999999929e-004	1.301438e-005
-1.299999999999929e-004	1.211450e-005
-1.199999999999929e-004	1.121461e-005
-1.099999999999929e-004	1.031472e-005
-9.999999999999286e-005	9.414833e-006
-8.999999999999286e-005	8.514944e-006
-7.999999999999286e-005	7.615056e-006
-6.999999999999287e-005	6.715168e-006
-5.999999999999287e-005	5.815280e-006
-4.999999999999287e-005	4.915392e-006
-3.999999999999287e-005	4.015504e-006
-2.999999999999287e-005	3.115616e-006
-1.999999999999287e-005	2.215728e-006
-9.999999999992869e-006	1.315840e-006
7.132017415881209e-018	4.159515e-007
1.000000000000713e-005	-4.839366e-007
2.000000000000713e-005	-1.383825e-006
3.000000000000713e-005	-2.283713e-006
4.000000000000713e-005	-3.183601e-006
5.000000000000713e-005	-4.083489e-006
6.000000000000713e-005	-4.983377e-006
7.000000000000714e-005	-5.883265e-006
8.000000000000714e-005	-6.783153e-006
9.000000000000713e-005	-7.683041e-006
1.000000000000071e-004	-8.582929e-006
1.100000000000071e-004	-9.482816e-006
1.200000000000071e-004	-1.038271e-005
1.300000000000071e-004	-1.128259e-005
1.400000000000071e-004	-1.218248e-005
1.500000000000071e-004	-1.308237e-005
1.600000000000071e-004	-1.398226e-005
1.700000000000071e-004	-1.488214e-005
1.800000000000071e-004	-1.578203e-005
1.900000000000071e-004	-1.668192e-005
2.000000000000071e-004	-1.758181e-005
2.100000000000071e-004	-1.848170e-005
2.200000000000071e-004	-1.938158e-005
2.300000000000071e-004	-2.028147e-005
2.400000000000071e-004	-2.118136e-005
2.500000000000072e-004	-2.208125e-005
2.600000000000072e-004	-2.298114e-005
2.700000000000072e-004	-2.388102e-005
2.800000000000072e-004	-2.478091e-005
2.900000000000073e-004	-2.568080e-005
3.000000000000073e-004	-2.658069e-005
3.100000000000073e-004	-2.748058e-005
3.200000000000073e-004	-2.838046e-005
3.300000000000074e-004	-2.928035e-005
3.400000000000074e-004	-3.018024e-005
3.500000000000074e-004	-3.108013e-005
3.600000000000075e-004	-3.198002e-005
3.700000000000075e-004	-3.287990e-005
3.800000000000075e-004	-3.377979e-005
3.900000000000075e-004	-3.467968e-005
4.000000000000076e-004	-3.557957e-005
4.100000000000076e-004	-3.647945e-005
4.200000000000076e-004	-3.737934e-005
4.300000000000076e-004	-3.827923e-005
4.400000000000077e-004	-3.917912e-005
4.500000000000077e-004	-4.007900e-005
4.600000000000077e-004	-4.097889e-005
4.700000000000077e-004	-4.187878e-005
4.800000000000078e-004	-4.277867e-005
4.900000000000078e-004	-4.367856e-005
5.000000000000078e-004	-4.457845e-005
5.100000000000078e-004	-4.547833e-005
5.200000000000079e-004	-4.637822e-005
5.300000000000079e-004	-4.727811e-005
5.400000000000079e-004	-4.817800e-005
5.500000000000080e-004	-4.907788e-005
5.600000000000080e-004	-4.997777e-005
5.700000000000080e-004	-5.087766e-005
5.800000000000080e-004	-5.177755e-005
5.900000000000081e-004	-5.267743e-005
6.000000000000081e-004	-5.357732e-005
6.100000000000081e-004	-5.447721e-005
6.200000000000081e-004	-5.537710e-005
6.300000000000082e-004	-5.627699e-005
6.400000000000082e-004	-5.717687e-005
6.500000000000082e-004	-5.807676e-005
6.600000000000082e-004	-5.897665e-005
6.700000000000083e-004	-5.987654e-005
6.800000000000083e-004	-6.077642e-005
6.900000000000083e-004	-6.167631e-005
7.000000000000083e-004	-6.257620e-005
7.100000000000084e-004	-6.347609e-005
7.200000000000084e-004	-6.437598e-005
7.300000000000084e-004	-6.527586e-005
7.400000000000085e-004	-6.617575e-005
7.500000000000085e-004	-6.707563e-005
7.600000000000085e-004	-6.797552e-005
7.700000000000085e-004	-6.887542e-005
7.800000000000086e-004	-6.977530e-005
7.900000000000086e-004	-7.067519e-005
8.000000000000086e-004	-7.157508e-005
8.100000000000086e-004	-7.247496e-005
8.200000000000087e-004	-7.337485e-005
8.300000000000087e-004	-7.427474e-005
8.400000000000087e-004	-7.517463e-005
8.500000000000087e-004	-7.607452e-005
8.600000000000088e-004	-7.697440e-005
8.700000000000088e-004	-7.787429e-005
8.800000000000088e-004	-7.877417e-005
8.900000000000088e-004	-7.967406e-005
9.000000000000089e-004	-8.057395e-005
9.100000000000089e-004	-8.147384e-005
9.200000000000089e-004	-8.237373e-005
